iter	Passed	Remaining
529	11135	9874
530	11155	9852
531	11175	9831
532	11196	9809
533	11217	9788
534	11237	9767
535	11258	9746
536	11278	9724
537	11297	9701
538	11318	9680
539	11338	9658
540	11358	9636
541	11377	9614
542	11397	9592
543	11416	9570
544	11436	9547
545	11456	9526
546	11476	9504
547	11496	9482
548	11516	9460
549	11537	9439
550	11558	9418
551	11578	9397
552	11599	9375
553	11619	9354
554	11640	9333
555	11661	9312
556	11682	9291
557	11702	9269
558	11724	9249
559	11744	9227
560	11764	9205
561	11784	9184
562	11804	9162
563	11824	9140
564	11844	9119
565	11864	9097
566	11884	9075
567	11904	9054
568	11924	9032
569	11944	9010
570	11965	8989
571	11984	8967
572	12004	8945
573	12024	8923
574	12044	8902
575	12064	8880
576	12084	8858
577	12105	8838
578	12125	8816
579	12146	8795
580	12166	8773
581	12186	8752
582	12205	8730
583	12225	8708
584	12246	8687
585	12266	8665
586	12286	8644
587	12305	8622
588	12326	8601
589	12346	8579
590	12365	8557
591	12385	8536
592	12405	8514
593	12425	8492
594	12445	8471
595	12464	8449
596	12484	8427
597	12504	8406
598	12525	8385
599	12548	8365
600	12571	8346
601	12595	8327
602	12617	8306
603	12644	8290
604	12665	8269
605	12687	8248
606	12708	8227
607	12728	8206
608	12749	8185
609	12769	8164
610	12789	8142
611	12810	8121
612	12830	8100
613	12850	8078
614	12870	8056
615	12889	8035
616	12909	8013
617	12929	7992
618	13005	8004
619	13033	7988
620	13058	7969
621	13078	7948
622	13099	7926
623	13119	7905
624	13139	7883
625	13159	7861
626	13179	7840
627	13199	7818
628	13219	7797
629	13239	7775
630	13259	7753
631	13279	7732
632	13299	7710
633	13318	7688
634	13338	7667
635	13359	7645
636	13378	7624
637	13398	7602
638	13418	7580
639	13437	7558
640	13458	7537
641	13477	7515
642	13497	7493
643	13517	7472
644	13537	7450
645	13557	7429
646	13578	7408
647	13598	7386
648	13618	7365
649	13638	7343
650	13658	7322
651	13678	7300
652	13699	7279
653	13720	7258
654	13741	7237
655	13761	7216
656	13781	7194
657	13802	7173
658	13823	7152
659	13844	7131
660	13870	7113
661	13891	7092
662	13912	7071
663	13933	7050
664	13953	7029
665	13973	7007
666	13993	6986
667	14013	6964
668	14034	6943
669	14054	6922
670	14074	6900
671	14094	6879
672	14113	6857
673	14133	6836
674	14154	6814
675	14175	6794
676	14195	6772
677	14214	6751
678	14234	6729
679	14254	6707
680	14273	6686
681	14293	6664
682	14313	6643
683	14333	6622
684	14354	6600
685	14374	6579
686	14394	6557
687	14413	6536
688	14433	6514
689	14453	6493
690	14479	6474
691	14499	6453
692	14519	6432
693	14538	6410
694	14558	6388
695	14578	6367
696	14597	6345
697	14617	6324
698	14636	6302
699	14656	6281
700	14676	6259
701	14696	6238
702	14716	6217
703	14735	6195
704	14756	6174
705	14777	6153
706	14798	6132
707	14820	6112
708	14840	6091
709	14861	6070
710	14882	6049
711	14902	6028
712	15027	6048
713	15070	6036
714	15093	6016
715	15114	5995
716	15136	5974
717	15158	5953
718	15178	5932
719	15198	5910
720	15217	5888
721	15238	5867
722	15259	5846
723	15280	5825
724	15300	5803
725	15320	5782
726	15340	5760
727	15361	5739
728	15381	5717
729	15400	5696
730	15419	5674
731	15439	5652
732	15460	5631
733	15480	5610
734	15500	5588
735	15520	5567
736	15539	5545
737	15560	5524
738	15579	5502
739	15599	5480
740	15619	5459
741	15639	5437
742	15659	5416
743	15679	5395
744	15700	5374
745	15720	5352
746	15740	5331
747	15760	5309
748	15780	5288
749	15800	5266
750	15820	5245
751	15840	5224
752	15861	5202
753	15881	5181
754	15902	5160
755	15923	5139
756	15943	5118
757	15965	5097
758	15985	5075
759	16005	5054
760	16026	5033
761	16047	5012
762	16068	4991
763	16088	4969
764	16109	4948
765	16128	4927
766	16149	4906
767	16169	4884
768	16189	4863
769	16209	4841
770	16228	4820
771	16249	4798
772	16268	4777
773	16289	4756
774	16308	4734
775	16329	4713
776	16349	4692
777	16368	4670
778	16388	4649
779	16409	4628
780	16428	4606
781	16449	4585
782	16468	4564
783	16488	4542
784	16508	4521
785	16527	4499
786	16549	4479
787	16570	4458
788	16590	4436
789	16610	4415
790	16630	4394
791	16650	4372
792	16670	4351
793	16690	4330
794	16709	4308
795	16730	4287
796	16750	4266
797	16769	4245
798	16790	4223
799	16810	4202
800	16830	4181
801	16850	4160
802	16870	4138
803	16890	4117
804	16910	4096
805	16930	4075
806	16951	4054
807	16972	4032
808	16993	4011
809	17013	3990
810	17033	3969
811	17053	3948
812	17075	3927
813	17096	3906
814	17116	3885
815	17137	3864
816	17157	3843
817	17178	3822
818	17199	3801
819	17219	3779
820	17241	3759
821	17262	3738
822	17284	3717
823	17305	3696
824	17326	3675
825	17346	3654
826	17367	3633
827	17387	3611
828	17407	3590
829	17427	3569
830	17447	3548
831	17466	3526
832	17487	3505
833	17506	3484
834	17526	3463
835	17546	3442
836	17566	3420
837	17586	3399
838	17606	3378
839	17625	3357
840	17646	3336
841	17698	3321
842	17756	3306
843	17779	3286
844	17801	3265
845	17822	3244
846	17843	3223
847	17863	3202
848	17884	3180
849	17905	3159
850	17925	3138
851	17957	3119
852	17978	3098
853	17999	3077
854	18022	3056
855	18044	3035
856	18065	3014
857	18087	2993
858	18108	2972
859	18128	2951
860	18148	2929
861	18169	2908
862	18189	2887
863	18210	2866
864	18231	2845
865	18252	2824
866	18273	2803
867	18293	2781
868	18314	2760
869	18334	2739
870	18354	2718
871	18373	2697
872	18398	2676
873	18418	2655
874	18438	2634
875	18458	2612
876	18478	2591
877	18497	2570
878	18518	2549
879	18539	2528
880	18560	2506
881	18579	2485
882	18599	2464
883	18619	2443
884	18639	2422
885	18659	2400
886	18679	2379
887	18700	2358
888	18721	2337
889	18741	2316
890	18762	2295
891	18782	2274
892	18803	2252
893	18823	2231
894	18845	2210
895	18866	2189
896	18886	2168
897	18908	2147
898	18928	2126
899	18948	2105
900	18969	2084
901	18990	2063
902	19010	2042
903	19030	2020
904	19050	1999
905	19071	1978
906	19096	1958
907	19117	1937
908	19140	1916
909	19162	1895
910	19184	1874
911	19205	1853
912	19226	1832
913	19247	1811
914	19268	1790
915	19290	1768
916	19311	1747
917	19332	1726
918	19353	1705
919	19373	1684
920	19393	1663
921	19413	1642
922	19434	1621
923	19454	1600
924	19476	1579
925	19496	1558
926	19516	1536
927	19536	1515
928	19556	1494
929	19577	1473
930	19598	1452
931	19618	1431
932	19639	1410
933	19659	1389
934	19679	1368
935	19699	1346
936	19719	1325
937	19740	1304
938	19760	1283
939	19780	1262
940	19801	1241
941	19824	1220
942	19849	1199
943	19871	1178
944	19892	1157
945	19913	1136
946	19934	1115
947	19955	1094
948	19976	1073
949	19997	1052
950	20018	1031
951	20039	1010
952	20059	989
953	20079	968
954	20100	947
955	20119	926
956	20140	904
957	20160	883
958	20181	862
959	20203	841
960	20259	822
961	20331	803
962	20356	782
963	20378	761
964	20401	739
965	20424	718
966	20445	697
967	20465	676
968	20485	655
969	20505	634
970	20525	613
971	20546	591
972	20567	570
973	20598	549
974	20618	528
975	20639	507
976	20659	486
977	20678	465
978	20698	443
979	20719	422
980	20738	401
981	20759	380
982	20779	359
983	20799	338
984	20820	317
985	20840	295
986	20861	274
987	20882	253
988	20903	232
989	20924	211
990	20944	190
991	20964	169
992	20985	147
993	21005	126
994	21026	105
995	21048	84
996	21068	63
997	21089	42
998	21109	21
999	21129	0
