,0
349,4671.052283380248
350,4663.29269693174
351,4674.1210978205645
352,4676.939232586358
353,4676.939232586358
354,4675.491615221657
355,4675.491615221657
356,4675.491615221657
357,4675.491615221657
358,4676.877990930466
359,4676.877990930466
360,4678.992425960438
361,4682.969210674043
362,4686.953938733868
363,4660.95086509733
364,4678.441813452758
365,4679.906558522047
366,4678.500357180006
367,4678.096488004166
368,4676.9630246909355
369,4676.3402200245855
370,4671.276000444014
371,4665.79128409703
372,4663.433037000491
373,4669.326282842457
374,4663.679709064087
375,4669.388460947206
376,4681.023405552231
377,4669.419942198476
378,4678.119897736287
379,4678.289936954281
380,4676.927796069104
381,4668.8241618335
382,4678.310509968404
383,4671.065918919259
384,4679.749091700462
385,4682.798994007496
386,4683.634335437662
387,4678.441813452758
388,4675.618890597694
389,4679.690607850227
390,4682.54683152164
391,4672.615383111901
392,4669.876440555895
393,4667.082538203642
394,4672.078824314112
395,4687.906522100544
396,4693.149309368136
397,4692.561412049563
398,4692.312976544648
399,4691.570293323935
400,4689.803296916685
401,4683.621498842498
402,4677.835630859425
403,4674.085834727396
404,4668.173553827772
405,4668.018527700302
406,4684.218849438592
407,4666.236898779096
408,4798.764344759442
409,4879.280828812118
410,4794.520021831747
411,4664.334157574177
412,4691.730116832262
413,4694.785220146712
414,4705.501767352897
415,4708.048135497675
416,4827.6193820827275
417,4962.413738466496
418,4917.274670348069
419,4946.491144731042
420,4933.640466352487
421,4894.660320813072
422,4955.44475028192
423,4946.031591787263
424,4907.738705104007
425,4962.413738466496
426,4930.493928726241
427,4811.376271998368
428,4772.430836052619
429,4754.115574849399
430,4754.115574849399
431,4754.115574849399
432,4764.738848519587
433,4766.977259094133
434,4777.570524033704
435,4777.570524033704
436,4806.870560651981
437,4807.518298020164
438,4814.160116435259
439,4815.65415400996
440,4806.015741444261
441,4806.015741444261
442,4808.232693441433
443,4808.757694904394
444,4815.14597197977
445,4848.379715563935
446,4850.227587726277
447,4814.214860268367
448,4808.757694904394
449,4805.523107556029
450,4776.732209724481
451,4758.274483791101
452,4758.274483791101
453,4749.284563307657
454,4724.259968505369
455,4724.259968505369
456,4724.259968505369
457,4749.284563307657
458,4749.284563307657
459,4758.274483791101
460,4758.274483791101
461,4760.107606634775
462,4758.274483791101
463,4761.477291332785
464,4770.192827382037
465,4770.192827382037
466,4768.823142684027
467,4766.990019840353
468,4768.823142684027
469,4761.477291332785
470,4761.477291332785
471,4761.477291332785
472,4752.02651676779
473,4725.5322680444215
474,4709.384039220785
475,4709.384039220785
476,4709.384039220785
477,4709.384039220785
478,4712.801612238535
479,4712.801612238535
480,4713.252523585431
481,4713.252523585431
482,4678.855191552614
483,4700.639148673128
484,4696.210864177835
485,4701.706930564153
486,4677.094337612742
487,4806.419649305086
488,4806.854055753484
489,4758.31345578797
490,4706.236326150963
491,4690.036148102726
492,4701.749067127173
493,4701.266057354925
494,4696.073998285273
