,DEPTH,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,KLOGH,PHIF,SW,VSH,pp_bar,pp_psi
793,3222.9552,85.9468994,45.8305015,0.19339999,46.7212982,2.22909998,10.6205997,41.3797988,45.0802001,18.7052993,0.2317,0.13089999,0.28679999,322.020308068819,4670.518144168537
794,3223.1076,86.1123962,46.022499,0.1931,46.5084991,2.23000001,10.9224996,41.6731986,45.0041999,17.8575,0.23119999,0.1313,0.28870001,321.8984966809413,4668.751416161037
795,3223.26,86.5307006,46.1535987,0.19349999,45.9963989,2.23000001,11.2944002,42.017601,44.9676017,17.4519004,0.23139999,0.1313,0.2899,321.8046042265833,4667.389618781519
796,3223.4124,85.9339981,46.2846984,0.194,45.4842987,2.23000001,11.6662998,42.3619995,44.9309997,17.0555992,0.2316,0.1313,0.29120001,321.73863070574515,4666.432752029987
797,3223.5648,85.5960006,46.3819999,0.1947,45.077301,2.22869992,12.0756998,42.4524002,44.8595008,16.9556999,0.23229999,0.13099999,0.29210001,321.70057611842674,4665.880815906437
798,3223.7172,86.4520034,46.4337997,0.1958,44.8120994,2.2256999,12.5359001,42.199501,44.7406005,17.2504005,0.23379999,0.1305,0.2926,321.69044046462795,4665.733810410871
799,3223.8696,86.8230972,46.4856986,0.19689999,44.5469017,2.22259998,12.9961996,41.9464988,44.6217002,17.5503005,0.2353,0.12999999,0.29309999,321.7082237443489,4665.991735543288
800,3224.022,86.9912033,46.4715003,0.1981,44.3261985,2.22000002,13.4603996,41.7911987,44.5847015,18.0457,0.23669999,0.1295,0.29300001,321.7539259575897,4666.654591303689
801,3224.1744,86.4729995,46.066101,0.19939999,44.3688011,2.22000002,13.9481,42.2148017,45.0326995,19.7581005,0.2372,0.1287,0.28909999,321.8275471043502,4667.722377692074
802,3224.3268,86.1138,45.6607017,0.2008,44.411499,2.22000002,14.4357995,42.6385002,45.4808006,21.6331005,0.2377,0.1278,0.28519999,321.9290871846304,4669.195094708442
803,3224.4792,86.0350036,45.2552986,0.20209999,44.4542007,2.22000002,14.9233999,43.0621986,45.9287986,23.6860008,0.23829999,0.127,0.2813,322.0585461984304,4671.072742352795
804,3224.6316,86.7610015,45.1473999,0.2016,44.2784004,2.22259998,14.9899997,43.3385009,45.7900009,23.7052001,0.2372,0.12759999,0.28029999,322.21592414575014,4673.355320625131
805,3224.784,88.5335998,45.086399,0.20069999,44.0680999,2.2256999,14.9899997,43.5914001,45.5583,23.3899002,0.23579999,0.12839999,0.27970001,322.4012210265896,4676.0428295254505
806,3224.9364,90.1427993,45.0253982,0.1999,43.8577995,2.22869992,14.9899997,43.8443984,45.3266983,23.0786991,0.2344,0.12929999,0.2791,322.60974117138625,4679.067164001552
807,3225.0888,90.9459991,45.1473999,0.2002,44.0700988,2.22469997,14.2157001,44.0317001,45.4963989,23.1634006,0.23589999,0.12849999,0.28029999,322.8133105627639,4682.019693740215
808,3225.2412,90.413002,45.4003982,0.20129999,44.5853004,2.21550011,12.8866996,44.1719017,45.9536018,23.5340003,0.2395,0.12649999,0.2827,323.00723353115984,4684.832313689236
809,3225.3936,88.7522964,45.6534004,0.2025,45.100399,2.20639991,11.5578002,44.3120994,46.4108009,23.9106006,0.2431,0.1246,0.28510001,323.19151007657433,4687.505023848619
810,3225.546,87.9905014,45.7444,0.2028,45.3137016,2.20370006,10.6300001,44.4634017,46.5569992,23.9319,0.2441,0.12399999,0.28600001,323.3661401990072,4690.037824218361
811,3225.6984,86.7470016,45.4609985,0.201,44.8291015,2.21589994,10.6300001,44.6400985,45.9840011,23.1371994,0.23919999,0.12659999,0.28330001,323.5311238984585,4692.430714798462
812,3225.8508,85.6858978,45.1775016,0.1992,44.3445014,2.22810006,10.6300001,44.8168983,45.4109992,22.3689994,0.2343,0.12919999,0.28060001,323.6864611749281,4694.683695588923
813,3226.0032,85.7426986,44.9024009,0.1974,43.8785018,2.24,10.6300001,44.9882011,44.8550987,21.6266994,0.22949999,0.13189999,0.27790001,323.8321520284162,4696.796766589743
814,3226.1556,85.7558975,45.0150985,0.19599999,44.2839012,2.24,10.6300001,44.9029006,45.098999,20.9288005,0.229,0.13189999,0.27900001,323.9681964589227,4698.769927800923
815,3226.308,86.1802978,45.1278991,0.1946,44.6893005,2.24,10.6300001,44.817501,45.3428001,20.2534008,0.2284,0.13189999,0.28009998,324.0945944664476,4700.603179222462
816,3226.4604,86.0290985,45.2406997,0.1932,45.0946998,2.24,10.6300001,44.7322006,45.5866012,19.5998001,0.22779999,0.13189999,0.28119999,324.2113460509909,4702.296520854362
817,3226.6128,86.373703,45.2812995,0.1949,44.7352981,2.24,11.6181001,43.9001007,45.1198005,19.6984996,0.22849999,0.1321,0.28159999,324.31845121255265,4703.849952696621
818,3226.7652,86.6447982,45.2965011,0.19779999,44.1073989,2.24,12.9531002,42.8059005,44.4035987,20.0622997,0.22969999,0.13249999,0.28169998,324.41590995113273,4705.263474749239
819,3226.9176,86.8336029,45.311798,0.20069999,43.4794998,2.24,14.2882003,41.7116012,43.6873016,20.4328002,0.2309,0.13279999,0.2818,324.50372226673124,4706.537087012217
820,3227.07,87.2612991,45.6279983,0.20149999,43.0685997,2.23860001,15.0100002,40.5236015,42.878601,19.4591007,0.2316,0.13359999,0.2849,324.5818881593482,4707.670789485554
821,3227.2224,87.0159988,46.2985992,0.19959999,42.9132003,2.23559999,15.0100002,39.2252006,41.9612007,17.1238002,0.2319,0.1348,0.29129999,324.65040762898354,4708.664582169252
822,3227.3748,86.9702987,46.9691009,0.19779999,42.7577018,2.23250007,15.0100002,37.9267005,41.0437011,15.0687999,0.23229999,0.136,0.2978,324.7092806756373,4709.518465063308
823,3227.5272,85.4231033,47.5368995,0.19619999,42.5015983,2.23049998,15.0066995,36.723999,40.1785011,13.4605998,0.23229999,0.1374,0.3032,324.7585072993095,4710.232438167725
824,3227.6796,85.1940002,47.631401,0.19539999,41.782299,2.2335999,14.9884996,35.9620018,39.5536003,12.8822002,0.2309,0.13889999,0.3041,324.7980875,4710.8065014825
825,3227.832,84.6200027,47.7257995,0.1946,41.0629997,2.23659992,14.9701995,35.2000007,38.9287986,12.3287,0.22959999,0.14049999,0.30509999,324.828021277709,4711.240655007636
826,3227.9844,85.908699,47.820301,0.1938,40.3436012,2.23970007,14.9518995,34.4379997,38.3040008,11.7989997,0.2282,0.1421,0.30599999,324.8483086324364,4711.534898743131
827,3228.1368,86.7228012,47.9339981,0.19689999,39.5121002,2.23449993,14.9499998,33.5747985,38.2700996,12.1940002,0.23119999,0.14069999,0.30709999,324.8589495641822,4711.689232688986
